Username,Followers,Following,Posts,Ratio,Score,Verdict,Why
woods_8756,80,2618,0,32.7,95,BOT,"ratio 33x, only 0 posts"
x_rahul_tp,691,12000,0,17.4,95,BOT,"ratio 17x, only 0 posts"
yuvrajsingh9704,99,4713,0,47.6,95,BOT,"ratio 48x, only 0 posts"
zahidfar24,84,1635,0,19.5,95,BOT,"ratio 19x, only 0 posts"
zaidkhan0739,399,1852,0,4.6,95,BOT,"no posts, follows 1852"
zebra.3501623,711,13000,0,18.3,95,BOT,"ratio 18x, only 0 posts"
zebra.3683945,90,2645,1,29.4,95,BOT,"ratio 29x, only 1 posts"
zeet.1313,200,1047,0,5.2,95,BOT,"no posts, follows 1047"
zritspudoyzos6,49,1772,2,36.2,95,BOT,"ratio 36x, only 2 posts"
fre.efirepagalm10t,73,783,0,10.7,7,BOT,"0 posts, ratio 11x, 73 followers"
iman_lyahyaoui,79,880,0,11.1,7,BOT,"0 posts, ratio 11x, 79 followers"
nandini596370,36,529,0,14.7,7,BOT,"0 posts, ratio 15x, 36 followers"
ziana_897,165,2128,1,12.9,6,BOT,"1 posts, ratio 13x, follows 2128"
ft_priya__2,95,580,0,6.1,5,BOT,"0 posts, ratio 6.1x, 95 followers"
irfan_boss_307,150,1760,1,11.7,5,BOT,"1 posts, ratio 12x"
